"trader_code","screen_code","function_code","screen_name","function_name","permission","regist_time","update_time"
"ALL","ACCOUNT_MANAGE","","アカウント管理","アカウント管理画面","M",2024/07/02 11:01:33.114,
"ALL","ACCOUNT_MANAGE","DELETE","アカウント管理","アカウント削除","M",2024/07/02 11:01:33.136,
"ALL","ACCOUNT_MANAGE","INSERT","アカウント管理","アカウント登録","M",2024/07/02 11:01:33.147,
"ALL","ACCOUNT_MANAGE","SEARCH","アカウント管理","アカウント検索","M",2024/07/02 11:01:33.126,
"ALL","ACCOUNT_MANAGE","SELECT","アカウント管理","アカウント選択","M",2024/07/02 11:01:33.136,
"ALL","ACCOUNT_MANAGE","UPDATE","アカウント管理","アカウント更新","M",2024/07/02 11:01:33.158,
"ALL","HOME","","HOME","","",2024/07/02 11:01:32.068,
"ALL","HOME","JIGYSELECT","HOME","事業者コード選択","",2024/07/02 11:01:32.202,
"ALL","OPERATION_HISTORY","","操作履歴","","",2024/07/02 11:01:33.158,
"ALL","OPERATION_HISTORY","SEARCH","操作履歴","操作履歴検索","MA",2024/07/02 11:01:33.158,
"ALL","OPERATION_HISTORY","SELECT","操作履歴","操作履歴選択","MA",2024/07/02 11:01:33.158,
"ALL","PASSWORD_MODIFY","","パスワード変更","","",2024/07/02 11:01:33.114,
"ALL","RESERVATION","","予約データ照会","","MAUN",2024/07/02 11:01:32.387,
"ALL","RESERVATION","DELETE","予約データ照会","予約データ削除","MAU",2024/07/02 11:01:33.084,
"ALL","RESERVATION","DETAIL","予約データ照会","予約データ詳細","MAU",2024/07/02 11:01:33.100,
"ALL","RESERVATION","DOWNLOAD","予約データ照会","予約データダウンロード","MAUN",2024/07/02 11:01:33.100,
"ALL","RESERVATION","PAYMENT_CANCEL","予約データ照会","予約データ決済取消","MAU",2024/07/02 11:01:33.100,
"ALL","RESERVATION","RESERVATION_CANCEL","予約データ照会","予約データ取消","MAU",2024/07/02 11:01:33.100,
"ALL","RESERVATION","SEARCH","予約データ照会","予約データ検索","MAUN",2024/07/02 11:01:33.062,
"ALL","RESERVATION","UPDATE","予約データ照会","予約データ更新","MAU",2024/07/02 11:01:33.100,
"XYZ","XXX","SELECT","新規画面","検索","MA",2024/07/02 11:01:33.158,
"ZZZ","XXX","SELECT","新規画面","検索","MA",2024/07/02 11:01:33.158,
