"trader_code","account_id","screen_code","function_code","operation_time","screen_name","function_name","regist_time","update_time"
"XYZ","testuser1","RESERVATION","PAYMENT_CANCEL",2024/07/11 16:48:14.174,"予約データ照会","予約データ決済取消",2024/07/11 16:48:14.189,2024/07/11 16:48:14.189
"XYZ","testuser1","RESERVATION","PAYMENT_CANCEL",2024/07/11 16:47:18.220,"予約データ照会","予約データ決済取消",2024/07/11 16:47:18.221,2024/07/11 16:47:18.221
"XYZ","testuser1","RESERVATION","RESERVATION_CANCEL",2024/07/11 16:41:32.621,"予約データ照会","予約データ取消",2024/07/11 16:41:32.638,2024/07/11 16:41:32.638
"XYZ","testuser1","RESERVATION","RESERVATION_CANCEL",2024/07/11 16:40:38.202,"予約データ照会","予約データ取消",2024/07/11 16:40:38.203,2024/07/11 16:40:38.203
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/11 12:29:37.357,"アカウント管理","アカウント更新",2024/07/11 12:29:37.358,2024/07/11 12:29:37.358
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/11 12:28:46.990,"アカウント管理","アカウント更新",2024/07/11 12:28:46.992,2024/07/11 12:28:46.992
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/11 12:27:29.475,"アカウント管理","アカウント更新",2024/07/11 12:27:29.476,2024/07/11 12:27:29.476
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/11 12:26:27.141,"アカウント管理","アカウント更新",2024/07/11 12:26:27.141,2024/07/11 12:26:27.141
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/11 12:19:44.469,"アカウント管理","アカウント登録",2024/07/11 12:19:44.471,2024/07/11 12:19:44.471
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/11 12:15:20.197,"アカウント管理","アカウント削除",2024/07/11 12:15:20.197,2024/07/11 12:15:20.197
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/11 12:14:08.979,"アカウント管理","アカウント更新",2024/07/11 12:14:08.981,2024/07/11 12:14:08.981
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/11 12:09:48.679,"アカウント管理","アカウント登録",2024/07/11 12:09:48.681,2024/07/11 12:09:48.681
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/11 11:50:43.412,"アカウント管理","アカウント削除",2024/07/11 11:50:43.415,2024/07/11 11:50:43.415
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/11 11:50:21.390,"アカウント管理","アカウント更新",2024/07/11 11:50:21.393,2024/07/11 11:50:21.393
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/11 11:50:04.780,"アカウント管理","アカウント更新",2024/07/11 11:50:04.781,2024/07/11 11:50:04.781
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/11 11:20:57.517,"アカウント管理","アカウント登録",2024/07/11 11:20:57.519,2024/07/11 11:20:57.519
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/11 11:08:06.512,"アカウント管理","アカウント登録",2024/07/11 11:08:06.514,2024/07/11 11:08:06.514
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/10 19:00:08.590,"アカウント管理","アカウント登録",2024/07/10 19:00:08.591,2024/07/10 19:00:08.591
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/10 18:59:50.692,"アカウント管理","アカウント削除",2024/07/10 18:59:50.694,2024/07/10 18:59:50.694
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 18:54:51.110,"アカウント管理","アカウント更新",2024/07/10 18:54:51.117,2024/07/10 18:54:51.117
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 18:34:42.835,"アカウント管理","アカウント更新",2024/07/10 18:34:42.836,2024/07/10 18:34:42.836
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/10 18:33:09.540,"アカウント管理","アカウント登録",2024/07/10 18:33:09.542,2024/07/10 18:33:09.542
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 17:01:22.292,"アカウント管理","アカウント更新",2024/07/10 17:01:22.292,2024/07/10 17:01:22.292
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 17:00:42.564,"アカウント管理","アカウント更新",2024/07/10 17:00:42.565,2024/07/10 17:00:42.565
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:59:17.577,"アカウント管理","アカウント更新",2024/07/10 16:59:17.578,2024/07/10 16:59:17.578
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/10 16:57:32.977,"アカウント管理","アカウント登録",2024/07/10 16:57:32.977,2024/07/10 16:57:32.977
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:56:02.265,"アカウント管理","アカウント更新",2024/07/10 16:56:02.265,2024/07/10 16:56:02.265
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:55:22.476,"アカウント管理","アカウント更新",2024/07/10 16:55:22.477,2024/07/10 16:55:22.477
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:54:10.872,"アカウント管理","アカウント更新",2024/07/10 16:54:10.873,2024/07/10 16:54:10.873
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:53:21.433,"アカウント管理","アカウント更新",2024/07/10 16:53:21.433,2024/07/10 16:53:21.433
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:52:30.878,"アカウント管理","アカウント更新",2024/07/10 16:52:30.880,2024/07/10 16:52:30.880
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:48:59.070,"アカウント管理","アカウント更新",2024/07/10 16:48:59.071,2024/07/10 16:48:59.071
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:48:18.525,"アカウント管理","アカウント更新",2024/07/10 16:48:18.526,2024/07/10 16:48:18.526
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:47:22.242,"アカウント管理","アカウント更新",2024/07/10 16:47:22.243,2024/07/10 16:47:22.243
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:42:54.651,"アカウント管理","アカウント更新",2024/07/10 16:42:54.653,2024/07/10 16:42:54.653
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:41:07.276,"アカウント管理","アカウント更新",2024/07/10 16:41:07.278,2024/07/10 16:41:07.278
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:38:25.657,"アカウント管理","アカウント更新",2024/07/10 16:38:25.658,2024/07/10 16:38:25.658
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:35:06.117,"アカウント管理","アカウント更新",2024/07/10 16:35:06.121,2024/07/10 16:35:06.121
"XYZ","22222220510","ACCOUNT_MANAGE","UPDATE",2024/07/10 16:33:40.831,"アカウント管理","アカウント更新",2024/07/10 16:33:40.837,2024/07/10 16:33:40.837
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/10 15:17:05.062,"アカウント管理","アカウント登録",2024/07/10 15:17:05.064,2024/07/10 15:17:05.064
"XYZ","22222220500","ACCOUNT_MANAGE","UPDATE",2024/07/05 17:27:33.046,"アカウント管理","アカウント更新",2024/07/05 17:27:33.047,2024/07/05 17:27:33.047
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/05 17:26:23.262,"アカウント管理","アカウント登録",2024/07/05 17:26:23.263,2024/07/05 17:26:23.263
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/05 17:26:12.466,"アカウント管理","アカウント削除",2024/07/05 17:26:12.469,2024/07/05 17:26:12.469
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/05 17:25:39.705,"アカウント管理","アカウント登録",2024/07/05 17:25:39.707,2024/07/05 17:25:39.707
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/05 17:25:08.173,"アカウント管理","アカウント削除",2024/07/05 17:25:08.175,2024/07/05 17:25:08.175
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/05 17:25:04.951,"アカウント管理","アカウント削除",2024/07/05 17:25:04.952,2024/07/05 17:25:04.952
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/05 17:24:52.187,"アカウント管理","アカウント削除",2024/07/05 17:24:52.188,2024/07/05 17:24:52.188
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/05 17:24:46.976,"アカウント管理","アカウント削除",2024/07/05 17:24:46.977,2024/07/05 17:24:46.977
"XYZ","22222220500","ACCOUNT_MANAGE","DELETE",2024/07/05 17:23:58.710,"アカウント管理","アカウント削除",2024/07/05 17:23:58.711,2024/07/05 17:23:58.711
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/05 17:11:48.665,"アカウント管理","アカウント登録",2024/07/05 17:11:48.666,2024/07/05 17:11:48.666
"XYZ","22222220510","ACCOUNT_MANAGE","INSERT",2024/07/05 17:06:36.144,"アカウント管理","アカウント登録",2024/07/05 17:06:36.160,2024/07/05 17:06:36.160
"XYZ","22222220500","ACCOUNT_MANAGE","UPDATE",2024/07/05 16:37:24.365,"アカウント管理","アカウント更新",2024/07/05 16:37:24.365,2024/07/05 16:37:24.365
"XYZ","22222220500","ACCOUNT_MANAGE","UPDATE",2024/07/05 16:37:02.903,"アカウント管理","アカウント更新",2024/07/05 16:37:02.903,2024/07/05 16:37:02.903
"XYZ","22222220500","ACCOUNT_MANAGE","UPDATE",2024/07/05 16:36:58.832,"アカウント管理","アカウント更新",2024/07/05 16:36:58.832,2024/07/05 16:36:58.832
"XYZ","22222220500","ACCOUNT_MANAGE","INSERT",2024/07/05 16:35:36.104,"アカウント管理","アカウント登録",2024/07/05 16:35:36.105,2024/07/05 16:35:36.105
"XYZ","22222220500","ACCOUNT_MANAGE","SEARCH",2024/07/05 16:13:36.643,"アカウント管理","アカウント検索",2024/07/05 16:13:39.650,2024/07/05 16:13:39.651
"XYZ","22222220530","AUTH","LOGIN",2024/07/04 9:30:00.124,"認証","ログイン画面",2024/07/04 9:30:00.124,
"XYZ","22222220520","AUTH","LOGIN",2024/07/04 9:30:00.114,"認証","ログイン画面",2024/07/04 9:30:00.114,
"XYZ","22222220510","YOYAKU","SEARCH",2024/07/04 9:30:00.102,"予約データ照会","予約データ検索",2024/07/04 9:30:00.102,
"XYZ","22222220510","AUTH","LOGIN",2024/07/04 9:30:00.092,"認証","ログイン画面",2024/07/04 9:30:00.092,
"XYZ","22222220500","YOYAKU","SEARCH",2024/07/04 9:30:00.084,"予約データ照会","予約データ照会画面",2024/07/04 9:30:00.084,
"XYZ","22222220500","YOYAKU","SEARCH",2024/07/04 9:30:00.074,"予約データ照会","予約データ検索",2024/07/04 9:30:00.074,
"XYZ","22222220500","AUTH","LOGIN",2024/07/04 9:30:00.063,"認証","ログイン画面",2024/07/04 9:30:00.063,
